Flat_No,House_Name,House_No,Street,Locale,Town,Postcode,Parish,Consideration,Market_Value,Acquisition_Date,Registered_Date
,,129,Ballamaddrell,,Port Erin,IM9 6AY,Rushen,160000,160000,29/01/2018,21/05/2018
,,50,Scarlett Road,,Castletown,IM9 1PN,Malew,215000,215000,30/01/2018,6/3/2018
,Land At,,Scarlett Road,,Castletown,,Malew,0,0,30/01/2018,6/3/2018
,Land,,Scarlett Road,,Castletown,,Malew,0,0,30/01/2018,7/3/2018
,,6,Strawberry Fields,Croit-E-Caley,Colby,IM9 4BZ,Rushen,349000,349000,30/01/2018,6/2/2018
,Land At,,Scarlett Road,,Castletown,,Malew,0,350,30/01/2018,3/4/2018
,Land,,Scarlett Road,,Castletown,,Malew,0,1000,30/01/2018,16/04/2018
,,1,Thornton Avenue,,Douglas,IM1 4NU,Onchan,195000,195000,30/01/2018,19/04/2018
,,3,Eyremont Terrace,,Crosby,IM4 2DE,Marown,197500,197500,30/01/2018,19/11/2018
Apartment 36,St Ninians Court,,St Ninians Road,,Douglas,IM2 4BY,Onchan,262500,262500,31/01/2018,19/02/2018
Apartment 60,,,Ballacottier Meadow,Douglas,Braddan,IM2 2QX,Braddan,152500,152500,31/01/2018,14/02/2018
,,4,Ballacubbon Close,Ballabeg,Arbory,IM9 4HR,Arbory,262000,262000,31/01/2018,12/3/2018
,Cruachan,,Highfield Drive,,Baldrine,IM4 6EE,Lonan,230000,230000,31/01/2018,25/04/2018
,,120,Fairways Drive,Mount Murray,Braddan,IM4 2JB,Braddan,405000,405000,31/01/2018,21/05/2018
,1 Carlton Apartments,,Spaldrick,,Port Erin,IM9 6PD,Rushen,105000,105000,31/01/2018,23/05/2018
,,28,Snaefell Crescent,,Onchan,IM3 4NJ,Onchan,258000,258000,31/01/2018,21/05/2018
,Parcel Of Land,,Off Maine Road,,Port Erin,IM9 6LQ,Rushen,5000,5000,31/01/2018,11/10/2018
,The Nook,,Royal Drive,,Onchan,IM3 1HG,Onchan,220000,220000,31/01/2018,1/6/2018
,,5,Mona Terrace,,Douglas,IM1 3NA,Onchan,380000,380000,31/01/2018,26/04/2018
,Units At The Clinch'S Development,,North Quay Bank Hill And Lord Street,,Douglas,IM1 4LJ,Onchan,1500000,1500000,1/2/2018,14/06/2018
,,,Parcel Of Land Part Of,Ballakinnag,Michael,IM6 1AT,Michael,18000,18000,1/2/2018,9/2/2018
,,113,Hill Street,,Douglas,IM1 1EF,Onchan,1800000,1800000,1/2/2018,27/02/2018
,,29,Knock Rushen,,Castletown,IM9 1TQ,Malew,365000,365000,1/2/2018,20/04/2018
,,17,Sprucewood View,,Foxdale,IM4 3HA,Patrick,80000,250000,1/2/2018,26/04/2018
,,5,Raad Kirree Varrey,Slieau Whallian View,Peel,IM5 1QR,German,395000,395000,1/2/2018,25/04/2018
,Stuggadhoo Cottage,,St Marks Road,The Braaid,Marown,IM4 2AJ,Marown,5000,199000,1/2/2018,27/03/2018
,The Lilacs,,Main Road,,Ballaugh,IM7 5EF,Ballaugh,220000,220000,1/2/2018,16/04/2018
Flat3,Victoria Manor,,Victoria Road,,Douglas,IM2 6AQ,Onchan,210000,210000,1/2/2018,13/04/2018
Common Areas At,Victoria Manor,,Victoria Road,,Douglas,IM2 6AQ,Onchan,0,0,1/2/2018,13/04/2018
,Unit 1,,Hailwood Court,Governors Hill,Douglas,IM2 7EA,Onchan,285000,285000,1/2/2018,23/05/2018
,,36,Knock Rushen,,Castletown,IM9 1TQ,Malew,575000,575000,1/2/2018,12/6/2018
Apartment 8,Cherry Orchard Aparthotel,,Bridson Street,,Port Erin,IM9 6AN,Rushen,60000,60000,1/2/2018,12/7/2018
,,18,Clybane Rise,,Douglas,IM2 2LU,Braddan,41250,230000,2/2/2018,9/4/2018
,Ballabunt Croft,,Cooil Road,,Braddan,IM4 2AQ,Braddan,625000,625000,2/2/2018,13/02/2018
,,39,Hollin Bank,Tromode Woods,Braddan,IM4 4TT,Braddan,440000,440000,2/2/2018,12/4/2018
,Loch House,,Loch Road,,Port St Mary,IM9 5EE,Rushen,410000,410000,2/2/2018,16/02/2018
,,3,Cronk Cullyn,,Colby,IM9 4NQ,Arbory,370000,370000,2/2/2018,12/4/2018
,,79,Malew Street,,Castletown,IM9 1LX,Malew,0,185000,2/2/2018,9/3/2018
,,3,Snaefell View,,Jurby,IM7 3BF,Jurby,115000,115000,2/2/2018,6/4/2018
Flat 2,Thurwood Place,26,West Quay,,Ramsey,IM8 1DJ,Maughold,229000,229000,2/2/2018,13/03/2018
,,19,Drinkwater Street,,Douglas,IM1 1AT,Onchan,166088,166088,2/2/2018,15/03/2018
,,37,Meadow Crescent,,Douglas,IM2 1QW,Braddan,265000,265000,2/2/2018,1/6/2018
,Ard Thalloo,20,King Orry Road,,Glen Vine,IM4 4ES,Marown,411000,411000,2/2/2018,21/05/2018
,,29,Reayrt Ny Crink,,Crosby,IM4 2EA,Marown,190000,190000,2/2/2018,23/04/2018
,Briar Bank,,Ballagawne Road,,Colby,IM9 4AX,Rushen,1,300000,2/2/2018,27/04/2018
,,5,Hillberry Meadows,,Douglas,IM2 7BJ,Onchan,175000,175000,2/2/2018,6/9/2018
,Shared Parking Area Asociated With,5,Hillberry Meadows,,Douglas,IM2 7BJ,Onchan,0,0,2/2/2018,7/9/2018
,,,Shared Lane Associated With,5 Hillberry Meadows,Douglas,IM2 7BJ,Onchan,0,0,2/2/2018,7/9/2018
,,19,Campion Way,Abbeyfields,Douglas,IM2 7DT,Onchan,189950,189950,2/2/2018,2/7/2018
,Land And Garage,,Rear Of Fairfield House,Main Road,St Johns,IM4 3NA,German,20000,20000,2/2/2018,13/09/2018
,,1,Mount Bradda,,Douglas,IM1 4AR,Onchan,0.25,340000,5/2/2018,9/2/2018
,,5,Ballakilley Lane,Ballakilley,Port St Mary,IM9 5NP,Rushen,0,464950,5/2/2018,6/3/2018
Flat 1,Greenhill,,Stanley Mount West,,Ramsey,IM8 1LR,Maughold,68000,68000,5/2/2018,30/04/2018
,,3,Berkeley Street,,Douglas,IM2 3QB,Onchan,49147,252500,6/2/2018,16/02/2018
,Cronk Vane,,Stoney Mountain Road,,Malew,IM4 3HJ,Malew,90000,180000,6/2/2018,18/07/2018
,Champion House,,Tromode Business Park,,Braddan,IM99 1DD,Braddan,1000000,1000000,6/2/2018,14/05/2018
,The Falstaff,1,The Meadows,,Kirk Michael,IM6 1EY,Michael,218000,218000,7/2/2018,12/4/2018
,,34,Ballacottier Meadow,Douglas,Braddan,IM2 2QX,Braddan,130000,130000,8/2/2018,20/03/2018
,,3,Primrose Lane,Slieau Whallian View,Peel,IM5 1QT,German,463000,463000,8/2/2018,7/6/2018
,,11a,Carnane Lane,Ballakilley,Port St Mary,IM9 5NQ,Rushen,292450,292450,8/2/2018,22/05/2018
,Garage At,1A,Victoria Place,,Douglas,IM2 4ET,Onchan,53600,53600,8/2/2018,22/06/2018
Apartment 29,Century Court,,Queens Promenade,,Douglas,IM2 4NT,Onchan,210000,210000,8/2/2018,30/05/2018
,Land Part Of Abbeylands Estate,,Scollag Road,,Onchan,IM4 5BU,Onchan,70000,70000,8/2/2018,9/11/2018
,Cedar Bank,,Dreemskerry,,Maughold,IM7 1AZ,Maughold,540000,540000,9/2/2018,14/02/2018
,,49,Sea Cliff Road,,Onchan,IM3 2JD,Onchan,680000,680000,9/2/2018,12/4/2018
,Reayrt Aalin,,Barroose Road,,Baldrine,IM4 6AP,Lonan,409000,409000,9/2/2018,21/02/2018
,,53,Ballagarey Road,,Glen Vine,IM4 4EQ,Marown,355000,355000,9/2/2018,12/4/2018
,Kings Reach Nursing Home,,Ellan Park,,Ramsey,IM8 3NX,Lezayre,1050000,1050000,9/2/2018,3/5/2018
,,,Land Abutting The East Side Of,Bride Road,Ramsey,,Lezayre,20000,20000,9/2/2018,14/06/2018
,,6,Queens Drive East,,Ramsey,IM8 1EJ,Maughold,187000,187000,9/2/2018,28/02/2018
,,57,Windermere Drive,Lakeside Gardens,Onchan,IM3 2DX,Onchan,225000,225000,9/2/2018,28/02/2018
,,6,Croit E Quill Close,,Laxey,IM4 7JE,Lonan,193000,193000,9/2/2018,12/3/2018
Apartment 74,Spectrum Apartments,,Central Promenade,,Douglas,IM2 4LL,Onchan,130000,130000,9/2/2018,12/3/2018
Apartment 56,Quay West Apartments,,Bridge Road,,Douglas,IM1 5AG,Onchan,420000,420000,9/2/2018,27/03/2018
,Flat 106,,Kings Court,St Pauls Square,Ramsey,IM8 1LJ,Maughold,100000,100000,9/2/2018,5/4/2018
,,1,Links View,,Onchan,IM3 2AW,Onchan,575000,575000,9/2/2018,29/03/2018
,Ballacaley Farm,,Ballacaley Road,,Sulby,IM7 2HS,Lezayre,720000,720000,9/2/2018,28/03/2018
,Wyncote,,Brookfield Avenue,,Castletown,IM9 1TL,Malew,335000,335000,9/2/2018,27/04/2018
,,7,Windermere Avenue,Lakeside Gardens,Onchan,IM3 2DT,Onchan,200000,200000,9/2/2018,5/6/2018
,,44,Baldrine Park,,Baldrine,IM4 6DA,Lonan,365000,365000,9/2/2018,5/6/2018
,,109,Royal Avenue,,Onchan,IM3 1LA,Onchan,230000,230000,9/2/2018,28/06/2018
,Holly Holme,,Main Road,,Greeba,IM4 2DU,German,385000,385000,9/2/2018,29/06/2018
Unit 1,,,Church Walk,St Pauls Square,Ramsey,IM7 2HR,Maughold,125000,125000,9/2/2018,5/6/2018
Unit 2 And 3,,,Church Walk,St Pauls Square,Ramsey,IM7 2HR,Maughold,250000,250000,9/2/2018,6/6/2018
,,19,Ashbourne Avenue,,Douglas,IM2 1NW,Braddan,305000,305000,9/2/2018,7/6/2018
,Lower Glentramman Farm,,Garey Road,,Lezayre,IM7 2AP,Lezayre,520000,520000,9/2/2018,3/9/2018
,Land At Lower Glentramman Farm,,Garey Road,,Lezayre,IM7 2AP,Lezayre,25000,25000,9/2/2018,21/08/2018
Penthouse,Belvedere Court,,Mooragh Promenade,,Ramsey,IM8 3AG,Lezayre,250000,250000,9/2/2018,15/06/2018
,Aeolus,,Traaie Meanagh Drive,,Port Erin,IM9 6LL,Rushen,435000,435000,9/2/2018,21/01/2019
Strip Of Land,Abutting Aeolus,,Traaie Meanagh Drive,,Port Erin,IM9 6LL,Rushen,15000,15000,9/2/2018,21/01/2019
,Field At Robin Hill Farm,,Cronk E Dhooney,Ballakilpheric,Colby,IM9 4BS,Rushen,53000,53000,12/2/2018,16/02/2018
,,5,Mountain View,,Douglas,IM2 5HU,Onchan,230000,230000,12/2/2018,26/07/2018
,,14,Ballacottier Meadow,Douglas,Braddan,IM2 2QX,Braddan,159950,159950,12/2/2018,17/04/2018
,,2,Crovens Close,Governors Hill,Douglas,IM2 7AQ,Onchan,275000,275000,12/2/2018,28/06/2018
,Garage At Rear Of,,Selborne Drive,,Douglas,,Onchan,11000,16500,12/2/2018,17/09/2018
,,57,Ballacottier Meadow,Douglas,Braddan,IM2 2QX,Braddan,0,241950,13/02/2018,15/02/2018
,,,Parcel Of Land At Ballajora,,Maughold,,Maughold,10000,10000,13/02/2018,27/02/2018
,Land Comprising The,,Estates Of Ballaseyre And Ballacorey,,Andreas,,Andreas,880000,880000,13/02/2018,5/4/2018
,,6,Cronk Y Berry View,,Douglas,IM2 6HH,Onchan,173000,173000,13/02/2018,18/04/2018
,Courtyard,,Cronk-Y-Berry View,Cronk-Y-Berry,Douglas,IM2 6HH,Onchan,0,0,13/02/2018,23/04/2018
,,2,Rockmount Road,Slieau Whallian View,Peel,IM5 1QN,German,243730,243730,13/02/2018,13/06/2018
,Reayrt Aalin,4,Ballajora Crossing,,Maughold,IM7 1BA,Maughold,450000,450000,13/02/2018,23/08/2018
,Thumper Cottage,,Strang Road,,Braddan,IM4 4NX,Braddan,320000,320000,13/02/2018,16/05/2018
,Dreeym,,Upper Balladhoo,Baldrine Road,Baldrine,IM4 6EH,Lonan,1250000,1250000,13/02/2018,14/08/2018
,,4,Ballachurry Avenue,Ballachurry Park,Onchan,IM3 4BD,Onchan,255000,255000,13/02/2018,6/7/2018
Apartment 4,Delamere Apartments,6-May,Castle Drive,,Douglas,IM2 4LX,Onchan,112500,112500,13/02/2018,5/6/2018
,Barrule,,St Judes Road,,Andreas,IM7 4HF,Andreas,199000,199000,14/02/2018,21/02/2018
Apartment 4,Corrib House,,Clarence Terrace,,Douglas,IM2 4LS,Onchan,157000,157000,14/02/2018,26/02/2018
,West Wind,,Douglas Road,,Ballasalla,IM9 2DN,Malew,210000,210000,14/02/2018,10/7/2018
,Ravenswood,27,Farmhill Park,Farmhill,Douglas,IM2 2EE,Braddan,450000,450000,14/02/2018,29/08/2018
,,15,Woodbourne Square,,Douglas,IM1 4DB,Onchan,250000,250000,14/02/2018,16/05/2018
,,,Land At Rear Of Mosdale,Main Road,Sulby,IM7 2HF,Lezayre,1500,1500,15/02/2018,19/02/2018
,,1,Croit E Cubbon,Station Road,Colby,IM9 4NN,Arbory,279000,279000,15/02/2018,16/03/2018
Shared Area In Relation To,,13,Brewery Wharf,Victoria Road,Castletown,IM9 1EU,Malew,0,0,15/02/2018,15/03/2018
,,5,Spring Gardens,,Douglas,IM1 3JN,Onchan,0.25,205000,15/02/2018,27/04/2018
,,1,Rockmount Road,Slieau Whallian View,Peel,IM5 1QN,German,244950,244950,15/02/2018,7/6/2018
,,9,Close Famman,,Port Erin,IM9 6BL,Rushen,0.25,185000,15/02/2018,27/06/2018
,,10,Mount View Road,,Onchan,IM3 4BU,Onchan,287000,287000,16/02/2018,23/02/2018
Flat 4 And Garage 4,Ballure Court,,Queens Drive West,,Ramsey,IM8 2JD,Maughold,72000,72000,16/02/2018,27/02/2018
,,3,Shore Road,Bay Ny Carrickey,Port St. Mary,IM9 5LY,Rushen,885999,885999,16/02/2018,28/08/2018
,Cooil Veg,71,Slieau Curn Park,,Kirk Michael,IM6 1EW,Michael,183800,183800,16/02/2018,26/03/2018
,,10:00 AM,Carnane Lane,Ballakilley,Port St Mary,IM9 5NQ,Rushen,294950,294950,16/02/2018,17/04/2018
,,4,Fuchsia Road,Reayrt Ny Keylley,Peel,IM5 1GA,German,430000,430000,16/02/2018,9/4/2018
,,3,Western Avenue,,Douglas,IM1 4EP,Onchan,250000,250000,16/02/2018,28/06/2018
,,21,Derby Road,,Douglas,IM2 3ET,Onchan,95000,95000,16/02/2018,25/04/2018
,Garages,,Rear Of Palatine Road,,Douglas,IM2 3BP,Onchan,325000,325000,16/02/2018,25/04/2018
,,1B,Little Meddow,,Andreas,IM7 4HY,Andreas,173000,173000,16/02/2018,27/04/2018
,,39,Westbourne Drive,,Douglas,IM1 4AY,Onchan,182000,182000,16/02/2018,5/6/2018
,Ballatanga,,Orrisdale Road,,Ballasalla,IM9 3AE,Malew,389000,389000,16/02/2018,6/6/2018
,,2,Joseph Hall Avenue,Reayrt Y Sheear,Douglas,IM2 6PN,Onchan,232000,232000,16/02/2018,31/07/2018
,,8,Cronk Reayrt,Glenfaba Park,Peel,IM5 1DB,German,255000,255000,19/02/2018,21/02/2018
,7 Elfin Court,,Vernon Road,,Ramsey,IM8 2HB,Maughold,90000,90000,19/02/2018,30/04/2018
Apartment 2,Hampton Grove,,Farmhill,,Douglas,IM2 2NG,Braddan,132500,132500,19/02/2018,27/02/2018
,Spindrift,9,Westhill Village,Jurby Road,Ramsey,IM8 3TD,Lezayre,550000,550000,19/02/2018,15/06/2018
,Stoneycroft,,Clay Head Close,,Baldrine,IM4 6DW,Lonan,215000,215000,19/02/2018,27/06/2018
,,7,Stanley View,,Douglas,IM2 3JA,Onchan,1,300000,19/02/2018,9/5/2018
,,9,Belgravia Road,,Onchan,IM3 1HN,Onchan,200000,200000,19/02/2018,30/08/2018
Plot 20,Sprucewood Park,,Sprucewood View,Ballamenagh,Foxdale,IM4 3HA,Patrick,259000,259000,20/02/2018,23/04/2018
,Dunbar,,Lheaney Road,,Ramsey,IM8 2JF,Maughold,285000,285000,20/02/2018,26/03/2018
,Cliff View,,Pinfold Hill,,Laxey,IM4 7HL,Lonan,100000,100000,20/02/2018,2/5/2018
,Land Part Of Ballawhane,,Blue Point,,Andreas,,Andreas,660000,660000,20/02/2018,4/6/2018
,,14,Gainsborourgh Crescent,,Ramsey,IM8 3NH,Lezayre,255000,255000,21/02/2018,12/3/2018
,,11,Balleigh Court,Balleigh Park,Ramsey,IM8 3NR,Lezayre,173000,173000,21/02/2018,16/05/2018
,,8,Mcleods Field,,Ramsey,IM5 1UX,German,187500,187500,21/02/2018,13/06/2018
,Shared Area In Relation To,31,Lakeside Road,,Douglas,IM2 7BG,Onchan,0,0,21/02/2018,12/12/2018
,,31,Lakeside Road,,Douglas,IM2 7BG,Onchan,200000,200000,21/02/2018,12/12/2018
,Brooklea,,Brookfield Avenue,,Ramsey,IM8 2AD,Maughold,260000,260000,21/02/2018,24/05/2018
,,15,Oak Road,Ballawattleworth Estate,Peel,IM5 1WB,German,0.25,170000,22/02/2018,27/02/2018
,Passageway Between,,4 And 5 Hillside Terrace,Glen Maye,Patrick,IM5 3BB,Patrick,1,5000,22/02/2018,14/06/2018
,,34,Thorny Road,,Douglas,IM2 5EG,Onchan,258000,258000,22/02/2018,27/04/2018
,,37,Hollin Bank,Tromode Woods,Braddan,IM4 4TT,Braddan,405000,405000,22/02/2018,9/7/2018
,,3,Christian Avenue,,Kirk Michael,IM6 1EQ,Michael,345000,345000,23/02/2018,27/02/2018
Stable 8,Abbeylands Estate,,Scollag Road,,Onchan,IM4 5BU,Onchan,14000,14000,23/02/2018,28/02/2018
,Garage 9,,Abbeylands Estate,,Onchan,IM4 5BX,Onchan,14000,14000,23/02/2018,28/02/2018
,,5,Abbeylands Estate,,Onchan,IM4 5BX,Onchan,586000,586000,23/02/2018,28/02/2018
,Parcel Of Land,,Abbeylands Estate,,Onchan,IM4 5BU,Onchan,14000,14000,23/02/2018,28/02/2018
,Queensland,8,Queens Drive West,,Ramsey,IM8 2JD,Maughold,210000,210000,23/02/2018,28/02/2018
,,7,Norwood Drive,,Douglas,IM2 5HJ,Onchan,299000,299000,23/02/2018,6/4/2018
,,9,Cronk Y Berry Avenue,,Douglas,IM2 6HE,Onchan,165000,165000,23/02/2018,23/08/2018
,Shared Area In Relation To,,9 Cronk Y Berry Avenue,,Douglas,IM2 6HE,Onchan,0.25,0.25,23/02/2018,23/08/2018
,,28,Laureston Grove,,Douglas,IM2 4BG,Onchan,340000,340000,23/02/2018,12/3/2018
,Fields,,Rhencullen,,Kirk Michael,,Michael,55000,55000,23/02/2018,13/04/2018
,,71,Ballabrooie Avenue,,Douglas,IM1 4EZ,Onchan,223000,223000,23/02/2018,6/4/2018
,,2,Roslyn Terrace,,Douglas,IM2 5DE,Onchan,203000,203000,23/02/2018,19/03/2018
,,9,Stanley Terrace,,Douglas,IM2 4EP,Onchan,260000,260000,23/02/2018,29/03/2018
,Roslyn,,Maine Road,,Port Erin,IM9 6LQ,Rushen,310000,310000,23/02/2018,10/9/2018
,,51,Bemahague Avenue,,Onchan,IM3 4AP,Onchan,167000,167000,23/02/2018,6/6/2018
,Upper Lhergy Vreck,,Baltic Road,,Kirk Michael,IM6 1EF,Michael,550000,550000,23/02/2018,6/6/2018
,,5,Hillside Terrace,,Glen Maye,IM5 3BB,Patrick,179000,179000,23/02/2018,26/06/2018
,Passageway Between,,4 And 5 Hillside Terrace,Glen Maye,Patrick,IM5 3BB,Patrick,1,5000,23/02/2018,28/06/2018
Flat 6,Ellan Court,,Mooragh Promenade,,Ramsey,IM8 3AB,Lezayre,0,70000,23/02/2018,22/08/2018
Unit C3,Eden Park,,Cooil Road,,Braddan,,Braddan,205000,205000,25/02/2018,14/06/2018
Unit C4,Eden Park,,Cooil Road,,Braddan,,Braddan,205000,205000,25/02/2018,15/06/2018
,,15,Ballaughton Manor Hill,,Douglas,IM2 1NZ,Braddan,317000,317000,26/02/2018,3/4/2018
,,5,Queens Road,,Onchan,IM3 4AF,Onchan,170000,170000,26/02/2018,17/04/2018
,,12,Kingswood Grove,,Douglas,IM1 3LX,Onchan,325000,325000,26/02/2018,26/04/2018
,Fistard House,,Fistard Road,,Port St Mary,IM9 5PE,Rushen,258000,258000,26/02/2018,30/04/2018
,,10,Carnane Lane,Ballakilley,Port St Mary,IM9 5NQ,Rushen,274950,274950,26/02/2018,21/05/2018
,Cliff View,8,Victoria Terrace,,Peel,IM5 1PG,German,240000,240000,26/02/2018,10/5/2018
,,10,Birchley Terrace,,Onchan,IM3 4EY,Onchan,6000,194000,26/02/2018,15/05/2018
,,5,Manor View,Farmhill,Douglas,IM2 2PB,Braddan,0.25,440000,26/02/2018,6/2/2019
,Honeysuckle Cottage,,Main Road,,Kirk Michael,IM6 1ER,Michael,0.25,135000,27/02/2018,28/02/2018
,,,Land Off Main Road,,Kirk Michael,,Michael,0.25,25000,27/02/2018,28/02/2018
,,,36 Manor Drive,,Douglas,IM2 2NS,Braddan,265000,265000,27/02/2018,6/8/2018
,,30,Laureston Grove,,Douglas,IM2 4BG,Onchan,355000,355000,27/02/2018,16/05/2018
Flat 308,Admirals Court,,Mooragh Promenade,,Ramsey,IM8 3BD,Lezayre,131000,131000,28/02/2018,9/3/2018
,Land At Stafflands,,Ballafayle,,Maughold,IM7 1EB,Maughold,1,10000,28/02/2018,10/5/2018
,,,Land At Ballajora,,Maughold,IM7 1AZ,Maughold,1,10000,28/02/2018,3/5/2018
,,16,Lhon Dhoo Close,,Onchan,IM3 3BE,Onchan,170000,170000,28/02/2018,3/4/2018
,,29,Falcon Street,,Douglas,IM2 3EZ,Onchan,232000,232000,28/02/2018,13/03/2018
,The Nook,,Colden Road,,Douglas,IM2 3NQ,Onchan,257950,257950,28/02/2018,26/03/2018
,,18,Woodburn Square,,Douglas,IM1 4DE,Onchan,329950,329950,28/02/2018,3/4/2018
,Parcel Of Land,,Cronk Y Dhooney,,Rushen,IM9 4BR,Rushen,25000,25000,28/02/2018,30/04/2018
,Baie Fionn,,Queens Road,,Port St Mary,IM9 5EU,Rushen,325000,325000,28/02/2018,23/08/2018
,,2,Raad Kirree Varrey,Slieau Whallian View,Peel,IM5 1QR,German,339950,339950,28/02/2018,15/08/2018
Apartment 7,Picadilly Court,,Queens Promenade,,Douglas,IM2 4NS,Onchan,170000,170000,28/02/2018,10/5/2018
Garage 2,Picadilly Court,,Queens Promenade,,Douglas,IM2 4NS,Onchan,10000,10000,28/02/2018,18/05/2018
Apartment 5,Picadilly Court,,Queens Promenade,,Douglas,IM2 4NS,Onchan,170000,170000,28/02/2018,24/05/2018
Land To Rear Of,The Pinewood Complex,,Laburnum Road,Pulrose,Douglas,IM2 1DE,Braddan,0.25,0.25,28/02/2018,13/06/2018
,Ardine,,Strang Road,,Union Mills,IM4 4NW,Braddan,310000,310000,28/02/2018,22/05/2018
,Pinehurst,,The Crescent East,,Ramsey,IM8 2JN,Maughold,70000,70000,28/02/2018,4/6/2018
,Trie Cassyn,,Main Road,,Kirk Michael,IM6 1AH,Michael,255000,255000,28/02/2018,31/08/2018
,,16,Richmond Grove,,Douglas,IM1 3JZ,Onchan,187500,187500,1/3/2018,13/04/2018
,Surby Beg,,Ballafesson,,Port Erin,IM9 6TR,Rushen,0,218000,1/3/2018,13/03/2018
,,11,Raad Bridjeen,Reayrt Ny Cronk,Peel,IM5 1GQ,German,225000,225000,1/3/2018,27/03/2018
,The Old School House,,Main Road,,Sulby,IM7 2HP,Lezayre,620000,620000,1/3/2018,6/4/2018
,Field 231679,,Barregarrow,,Kirk Michael,,Michael,15000,15000,1/3/2018,13/04/2018
,,1,Raad Kirree Varrey,Slieau Whallian View,Peel,IM5 1QR,German,494950,494950,1/3/2018,13/06/2018
,,24,Broogh Wyllin,Shore Road,Kirk Michael,IM6 1HU,Michael,187000,187000,2/3/2018,12/3/2018
,,31A,Parliament Street,,Ramsey,IM8 1AT,Maughold,125000,125000,2/3/2018,22/03/2018
,,63,Ballacriy Park,,Colby,IM9 4LX,Arbory,230000,230000,2/3/2018,28/03/2018
Apartment 30,Slieau Ree Apartments,,Main Road,,Union Mills,IM4 4ND,Braddan,157000,157000,2/3/2018,1/6/2018
,,25,Farmhill Lane,Farmhill,Douglas,IM2 2EF,Braddan,420000,420000,2/3/2018,19/06/2018
,,1,Cleiy Rhennee,Shore Road,Kirk Michael,IM6 1HT,Michael,316000,316000,2/3/2018,6/4/2018
,,7,Primrose Lane,Slieau Whallian View,Peel,IM5 1QT,German,319950,319950,2/3/2018,6/6/2018
Flat 3,Selbourne Court,6-Apr,Selborne Road,,Douglas,IM1 4BU,Onchan,100000,100000,2/3/2018,9/5/2018
,,47,Auldyn Walk,,Ramsey,IM8 1TN,Lezayre,177000,177000,2/3/2018,16/05/2018
,Ardmore,,Meadowfield Road,,Port Erin,IM9 6PH,Rushen,319950,319950,2/3/2018,6/6/2018
,,18,Ash Grove,,Ramsey,IM8 3HT,Lezayre,254000,254000,2/3/2018,11/6/2018
,,20,Cronk Y Berry Avenue,,Douglas,IM2 6HD,Onchan,195000,195000,5/3/2018,26/04/2018
,Courtyard,,Cronk Y Berry View,Cronk Y Berry,Douglas,IM2 6HH,Onchan,0.25,0.25,5/3/2018,30/04/2018
,Ardlea,5,Somerset Road,,Douglas,IM2 5AD,Onchan,337000,337000,5/3/2018,15/05/2018
,,6,Manor View,Farmhill,Douglas,IM2 2PB,Braddan,445000,445000,5/3/2018,7/6/2018
,,58,Seafield Close,,Onchan,IM3 3BU,Onchan,287000,287000,5/3/2018,13/06/2018
,Land At Doves Hill,,Glen Road,,Ballaugh,IM7 5JB,Ballaugh,1,5000,6/3/2018,16/03/2018
,Surby Cottage,,Mill Road,,Port Erin,IM9 6QP,Rushen,168000,168000,6/3/2018,13/04/2018
,,5,Patrick Street,,Peel,IM5 1BP,German,206000,206000,6/3/2018,28/03/2018
,,35,Bymacan Close,Ballabeg,Arbory,IM9 4EL,Arbory,155000,155000,6/3/2018,11/4/2018
,,10,Rockmount Road,Slieau Whallian View,Peel,IM5 1QN,German,244600,244600,6/3/2018,18/06/2018
,,1,Duke Street,,Peel,IM5 1NG,German,230000,230000,6/3/2018,9/5/2018
,,,Parcel Of Land Off Victoria Road,,Douglas,IM2 4HQ,Onchan,1500,1500,6/3/2018,14/08/2018
,Fo Strooan,,Main Road,,Glen Maye,IM5 3BL,Patrick,225000,225000,6/3/2018,20/07/2018
,,11,Bridge Street,,Peel,IM5 1NF,German,82500,82500,7/3/2018,13/04/2018
,Ash Cottage,31,Bowring Road,,Ramsey,IM8 3EP,Lezayre,320000,320000,7/3/2018,11/4/2018
Inglewood Hotel,26 Palace Terrace,,Queens Promenade,,Douglas,IM2 4NF,Onchan,600000,600000,7/3/2018,20/06/2018
,Elfin House,4,Hughenden Terrace,May Hill,Ramsey,IM8 2HJ,Maughold,235000,235000,8/3/2018,27/03/2018
,Rhenwyllan Cottage,,Beach Road,,Port St Mary,IM9 5NG,Rushen,49999,100000,8/3/2018,29/03/2018
,Plot Of Land,,Off Pound Road,,Port St Mary,,Rushen,1,5000,8/3/2018,3/4/2018
,,26,Perwick Road,,Port St Mary,IM9 5PA,Rushen,512000,512000,8/3/2018,6/4/2018
,Glen Cottage,,Glen Maye Hill,,Glen Maye,IM5 3BE,Patrick,150000,150000,8/3/2018,24/05/2018
,,16,Hatfield Grove,,Douglas,IM1 3HD,Onchan,158000,158000,9/3/2018,15/03/2018
,,26,Broogh Wyllin,Shore Road,Kirk Michael,IM6 1HU,Michael,175000,175000,9/3/2018,28/03/2018
,The Old Post Office,6,Regent Street,,Douglas,IM1 2EA,Onchan,1050000,1050000,9/3/2018,29/05/2018
,,61,Port E Chee Avenue,,Douglas,IM2 5EU,Onchan,230000,230000,9/3/2018,23/05/2018
